horizon,prop3_endpoint_p2_1,prop3_interior_p2_035,agent_band_probability,generic_shock_probability
0,1.0,0.35,0.11449982170452344,0.11449982170452344
1,1.0,0.5774999999999999,0.11449982170452344,0.11449982170452344
2,1.0,0.725375,0.11449982170452344,0.11449982170452344
3,1.0,0.8214937499999999,0.11449982170452344,0.11449982170452344
4,1.0,0.8839709375,0.11449982170452344,0.11449982170452344
5,1.0,0.924581109375,0.11449982170452344,0.11449982170452344
6,1.0,0.95097772109375,0.11449982170452344,0.11449982170452344
7,1.0,0.9681355187109375,0.11449982170452344,0.11449982170452344
